Timepoint,Concentration,Concentration_uM,n,Mean_Inhibition,SD_Inhibition,IC50_uM,IC90_uM,Hill_slope
24h,100 uM,100.0,6,99.69740058823142,0.11217037496187555,29.733973606246533,45.18256047042063,5.251230495802668
24h,50 uM,50.0,5,93.92459107351033,2.5747250013152057,29.733973606246533,45.18256047042063,5.251230495802668
24h,25 uM,25.0,6,28.457930700437302,14.726067981762531,29.733973606246533,45.18256047042063,5.251230495802668
24h,12.5 uM,12.5,6,-5.880544323553214,29.45768836851932,29.733973606246533,45.18256047042063,5.251230495802668
24h,6.25 uM,6.25,6,15.760208760039129,28.40167689517335,29.733973606246533,45.18256047042063,5.251230495802668
24h,3.125 uM,3.125,6,-35.76327026398246,31.118771118224807,29.733973606246533,45.18256047042063,5.251230495802668
24h,1.5625 uM,1.5625,6,14.144100736103638,14.481908185422334,29.733973606246533,45.18256047042063,5.251230495802668
24h,0.78125 uM,0.78125,6,15.344688798298314,16.930605012442694,29.733973606246533,45.18256047042063,5.251230495802668
24h,156 nM,0.156,6,-120.59098824117761,52.14815641683907,29.733973606246533,45.18256047042063,5.251230495802668
24h,31.25 nM,0.03125,6,-44.740023776532134,69.02975153640055,29.733973606246533,45.18256047042063,5.251230495802668
48h,100 uM,100.0,6,98.65580640104376,0.30951616659367814,36.74194418127346,65.59698245896276,3.790862689229514
48h,50 uM,50.0,6,72.31931800120816,4.553565400028263,36.74194418127346,65.59698245896276,3.790862689229514
48h,25 uM,25.0,6,33.82803998144497,12.724650956978067,36.74194418127346,65.59698245896276,3.790862689229514
48h,12.5 uM,12.5,6,20.013504921244973,12.255848253164043,36.74194418127346,65.59698245896276,3.790862689229514
48h,6.25 uM,6.25,6,11.320930569301893,15.619667343493221,36.74194418127346,65.59698245896276,3.790862689229514
48h,3.125 uM,3.125,6,8.35025014987695,7.801865689010075,36.74194418127346,65.59698245896276,3.790862689229514
48h,1.5625 uM,1.5625,6,29.736946030696487,12.2771005919588,36.74194418127346,65.59698245896276,3.790862689229514
48h,0.78125 uM,0.78125,6,26.721071050194343,22.690734332793973,36.74194418127346,65.59698245896276,3.790862689229514
48h,156 nM,0.156,6,-2.617367544150279,19.70126466827233,36.74194418127346,65.59698245896276,3.790862689229514
48h,31.25 nM,0.03125,6,-20.827291133079985,16.91391761968842,36.74194418127346,65.59698245896276,3.790862689229514
